account_id,balance,credit_card,avg_spend,loan_status,hasInsurance,Dormant
576,35550.7,-1,1971.99,-1,0,0
3818,62199.8,-1,3314.03,-1,1,0
704,81680.3,-1,3893.71,-1,0,0
2378,93349.5,-1,10355.63,-1,0,0
2632,62959.3,-1,2551.63,-1,1,0
1972,23740.2,-1,1626.81,-1,0,0
1539,8957.3,-1,5711.98,-1,0,0
793,19396.2,-1,660.95,-1,0,0
2484,43644.0,-1,2449.3,-1,1,0
1695,106897.4,gold,12791.74,-1,0,0
1726,34243.8,-1,2451.74,-1,1,0
2881,52610.8,-1,2791.8,-1,0,0
2357,38296.6,-1,2041.7,-1,0,0
2177,32458.4,-1,1691.54,-1,0,0
485,79053.2,-1,6214.99,-1,1,0
652,68449.9,-1,4461.1,-1,0,0
9635,6921.1,-1,1576.88,-1,0,0
1844,43524.8,-1,1130.43,-1,0,0
1926,22197.6,-1,1434.37,-1,0,0
2393,48060.5,-1,3130.92,-1,0,0
3510,47529.7,-1,12344.04,-1,0,0
1276,22799.9,-1,1567.35,-1,1,0
1637,34367.0,-1,1367.51,-1,0,0
3871,59739.6,-1,916.5,-1,0,0
192,29946.5,-1,1872.88,-1,0,0
764,21491.3,-1,1950.83,-1,0,0
2087,61954.5,-1,8681.87,-1,0,0
2122,41803.8,-1,9741.02,-1,0,0
3592,21075.9,-1,2030.57,-1,0,0
3487,80704.8,-1,3780.39,-1,0,0
435,27135.0,-1,1688.79,-1,0,0
1730,67162.7,-1,1818.01,-1,0,0
1493,17535.9,-1,1311.4,-1,0,0
374,45678.2,-1,7465.1,-1,0,0
2925,32686.9,-1,2307.47,-1,0,0
866,60553.8,-1,2014.07,-1,1,0
1628,19838.2,-1,1572.56,-1,0,0
2379,30353.9,-1,1208.46,-1,1,0
1979,19783.3,-1,918.76,-1,0,0
346,51752.3,-1,5512.49,-1,0,0
1338,108976.6,-1,5263.55,-1,1,0
1909,14968.1,-1,626.46,-1,1,0
2099,96474.9,classic,10610.28,-1,0,0
3760,111133.6,-1,12996.12,-1,0,0
5270,95340.6,-1,10568.54,A,0,0
1699,26285.9,-1,1318.3,-1,0,0
3909,55669.2,junior,4463.97,-1,1,0
2926,44250.7,-1,1774.32,-1,1,0
1731,29391.4,-1,1548.92,-1,0,0
11265,27390.8,-1,1989.76,A,0,0
2519,50254.4,-1,1504.05,-1,0,0
10364,50990.9,-1,3491.98,A,0,0
1481,19367.1,-1,989.01,-1,0,0
401,37755.2,-1,3264.28,-1,0,0
4034,74888.7,gold,2562.76,-1,0,0
2330,22462.3,-1,861.71,-1,0,0
1806,17462.0,-1,1648.13,-1,0,0
3834,30658.0,-1,2155.97,A,1,0
1222,20078.8,-1,1920.51,-1,0,0
212,95412.1,classic,12973.93,-1,0,0
456,65872.0,gold,15332.05,-1,0,0
459,8100.0,-1,1396.3,-1,0,1
772,72717.1,-1,4324.23,-1,1,0
1019,56756.7,classic,3659.18,-1,1,0
11295,103756.2,-1,4108.13,-1,0,0
2970,44179.2,-1,4633.7,-1,0,0
2676,58126.2,-1,2869.56,-1,1,0
1536,69689.5,-1,7497.47,-1,0,0
1179,17578.3,-1,1488.35,-1,0,0
280,65518.3,-1,2837.84,-1,0,0
2425,23151.6,-1,2937.3,-1,0,0
9307,111321.0,-1,5635.92,A,0,0
4055,26992.5,-1,7553.58,-1,0,0
5065,8693.4,-1,8672.2,-1,0,0
3704,42721.8,-1,1783.87,-1,0,0
477,43753.7,-1,3086.36,-1,1,0
5891,106848.2,gold,7272.98,A,0,0
1000,91329.0,-1,4626.44,-1,1,0
1750,88148.5,gold,5614.89,-1,0,0
2023,95837.5,-1,3733.46,-1,1,0
6473,29843.3,-1,8419.42,B,0,0
1649,19717.5,junior,4021.58,-1,0,0
2670,39633.6,classic,6402.03,-1,0,0
1127,52465.2,classic,6580.91,-1,0,0
163,37538.9,-1,1523.86,-1,0,0
2566,6007.1,-1,2020.59,-1,0,0
9,23877.5,-1,1889.2,-1,0,0
1144,24302.7,-1,1050.11,-1,0,0
2902,41642.9,-1,4565.06,-1,0,0
4296,46966.0,classic,6706.08,-1,0,0
443,22230.4,-1,637.85,-1,0,0
3693,99453.5,-1,4884.71,-1,0,0
2070,69584.7,-1,3814.31,-1,0,0
1843,31576.9,classic,4135.87,A,0,0
2714,17923.3,-1,2653.08,-1,0,0
4078,117561.4,classic,9726.76,-1,0,0
1675,23493.9,-1,1427.86,-1,0,0
5868,101977.1,-1,11170.16,-1,0,0
1805,85140.3,-1,7118.59,-1,0,0
2434,19549.5,-1,2031.79,-1,0,0
3007,45869.2,-1,3719.72,-1,1,0
2574,108722.9,-1,4603.63,-1,0,0
862,103054.3,junior,10949.48,-1,0,0
1132,70388.6,classic,13851.48,-1,0,0
4484,82003.5,-1,10716.28,-1,0,0
943,27138.1,-1,1018.44,-1,0,0
3514,24671.8,-1,1071.76,-1,0,0
3983,47293.0,-1,6231.22,-1,0,0
9265,85731.1,junior,7116.88,A,0,0
465,20582.5,-1,5145.21,-1,0,0
982,21159.1,-1,1049.94,-1,1,0
411,69204.0,classic,5155.01,-1,0,0
890,34652.9,-1,2418.21,-1,0,0
627,100083.2,-1,5852.35,-1,0,0
2429,52136.9,-1,3423.02,-1,0,0
3960,25427.4,-1,1595.54,-1,0,0
2256,16675.1,-1,1659.93,-1,0,0
8051,23793.7,-1,6565.45,A,0,0
2647,104800.1,-1,3772.44,-1,0,0
2241,63989.9,-1,2326.43,-1,1,0
5622,68044.6,junior,6400.27,A,0,0
2884,105066.3,-1,2335.13,-1,0,0
1830,39946.8,-1,4083.95,-1,0,0
7753,60100.6,classic,10233.23,A,0,0
244,52094.5,classic,859.43,-1,1,0
1477,21718.9,-1,1028.48,-1,0,0
4240,45077.3,-1,9556.46,-1,0,0
1006,50207.3,-1,686.1,-1,1,0
830,57616.0,classic,6954.03,-1,0,0
9188,34453.6,-1,2441.18,A,1,0
1965,51865.8,-1,8399.61,-1,0,0
1134,39441.8,-1,2975.73,-1,0,0
1601,17972.3,-1,1434.62,-1,0,0
2861,21096.7,-1,1721.8,-1,0,0
813,35295.5,-1,3295.76,A,0,0
2585,29110.6,-1,5767.84,-1,0,0
2220,16336.7,-1,1879.99,-1,0,0
